tag,mode,threshold,window,resolved,stop_frame,stop_time,stop_py,stop_tangent_vel,final_frame,final_time,final_py,final_tangent_vel,min_tangent_vel,max_tangent_vel
AR200_gap0.01_mu0.2_t18,sustained,1e-05,10,1,203700,20.37,-0.0215924,4.7272367396380274e-07,2000000,200.0,-0.0173396,3.7918862557497865e-05,4.521758044233822e-08,0.0612709
AR200_gap0.01_mu0.2_t19,sustained,1e-05,10,0,2000000,200.0,0.0380284,0.0009351878383982729,2000000,200.0,0.0380284,0.0009351878383982729,1.3152861593873076e-05,0.015676721738218824
AR200_gap0.01_mu0.2_t2,sustained,1e-05,10,1,968100,96.81,-0.00545204,9.73271008692202e-06,2000000,200.0,-0.00362822,4.669928908730204e-05,3.901030828044804e-09,0.130311
AR200_gap0.01_mu0.2_t3,sustained,1e-05,10,1,137200,13.72,-0.0170408,1.1812429485177897e-06,2000000,200.0,0.0140821,0.00010606003771230525,2.618505220981879e-09,0.0757752
AR200_gap0.01_mu0.2_t4,sustained,1e-05,10,1,659400,65.94,-0.00475878,9.1898210751739e-06,2000000,200.0,-0.00464174,0.00017651275196859165,4.987007720058198e-09,0.1279049007177863
AR200_gap0.01_mu0.2_t5,sustained,1e-05,10,1,204600,20.46,0.0101225,8.665412311730777e-06,2000000,200.0,0.0135793,3.823419542063689e-05,7.551771897958816e-08,0.00996436
AR200_gap0.01_mu0.2_t6,sustained,1e-05,10,1,198500,19.85,-0.0282777,5.172270001809303e-06,2000000,200.0,-0.0118792,0.0020849151339849404,3.892510408737009e-09,0.10996867618827817
AR200_gap0.01_mu0.2_t7,sustained,1e-05,10,1,529000,52.900000000000006,-0.00256817,3.615947590368343e-06,2000000,200.0,-0.00118701,1.29435048792913e-05,9.600163524608468e-10,0.0691528
AR200_gap0.01_mu0.2_t8,sustained,1e-05,10,1,416900,41.690000000000005,0.00817904,7.0383450021157255e-06,2000000,200.0,0.00716119,1.6431835725491817e-05,6.4097059454026995e-09,0.032484080376376616
AR200_gap0.01_mu0.2_t9,sustained,1e-05,10,0,2000000,200.0,-0.820481,0.26949213664099003,2000000,200.0,-0.820481,0.26949213664099003,1.8963877800341408e-08,1.1038548408421898
AR200_gap0.01_mu0.4_t0,sustained,1e-05,10,1,1201700,120.17,-0.0163804,9.627911153782408e-06,2000000,200.0,-0.016243,6.810105324378145e-06,5.35164247523684e-10,0.228801
AR200_gap0.01_mu0.4_t1,sustained,1e-05,10,1,1184900,118.49000000000001,0.00149346,9.811938382030401e-06,2000000,200.0,0.000600788,2.9120793712960535e-05,8.509680768913487e-07,0.03064
AR200_gap0.01_mu0.4_t10,sustained,1e-05,10,1,310400,31.040000000000003,-0.00408419,7.682368726393123e-06,2000000,200.0,-0.00294233,2.8922949838185913e-05,7.378232244869206e-08,0.07461
AR200_gap0.01_mu0.4_t11,sustained,1e-05,10,1,520600,52.06,-0.035476,4.896628128184851e-07,2000000,200.0,-0.0384452,6.888615284528834e-05,1.012786322270516e-08,0.138177
AR200_gap0.01_mu0.4_t12,sustained,1e-05,10,1,515400,51.54,-0.0141937,7.234093300673887e-06,2000000,200.0,-0.0126873,2.838720663756037e-07,5.3809224704024796e-08,0.0183537
AR200_gap0.01_mu0.4_t13,sustained,1e-05,10,1,150600,15.06,0.000423703,3.86008336383292e-06,2000000,200.0,0.00771627,0.000857952364519598,2.504028419236096e-08,0.05216904293735883
