frame,rods,integrate_ms,sleep_ms,broadphase_ms,warmstart_ms,buildIslands_ms,solve_ms,floorSolve_ms,posCorrect_ms,pbcWrap_ms,render_ms,contacts,islands
143,100,1.31454,0.14779,65.4293,0.000916,0.058999,0.000876,0,0.001293,0.387789,0.166416,0,0
144,100,1.31296,0.148043,64.3289,0.00108,0.057751,0.000958,0,0.001661,0.38654,0.165042,0,0
145,100,1.27363,0.14446,62.7124,0.00104,0.060002,0.000917,0,0.001545,0.379247,0.17375,0,0
146,100,1.27613,0.144622,63.6669,0.001169,0.055998,0.000836,0,0.001373,0.376999,0.162083,0,0
147,100,1.30705,0.14871,65.0252,0.001168,0.0565,0.001042,0,0.001499,0.387748,0.158333,0,0
148,100,1.315,0.149166,64.8324,0.005417,0.087538,0.020166,0,0.001628,0.390542,0.174875,0,0
149,100,1.33541,0.150498,68.4999,0.007166,0.108378,0.032957,0,0.001621,0.394665,0.196667,0,0
150,100,1.32596,0.150163,67.7875,0.001582,0.070332,0.001127,0,0.001708,0.393459,0.189583,0,0
151,100,1.31112,0.148124,65.156,0.006338,0.095251,0.019249,0,0.001706,0.387209,0.182458,0,0
152,100,1.28863,0.14567,63.5552,0.005252,0.085371,0.018624,0,0.001831,0.380872,0.15625,0,0
153,100,1.31042,0.147584,64.9935,0.001414,0.058875,0.000961,0,0.001459,0.386875,0.173667,0,0
154,100,1.27312,0.14417,63.92,0.004715,0.081423,0.018081,0,0.001378,0.37721,0.160875,0,0
155,100,1.27216,0.144251,64.7428,0.001248,0.054874,0.001169,0,0.001292,0.378871,0.153166,0,0
156,100,1.27371,0.144168,64.4155,0.000959,0.054998,0.000956,0,0.001497,0.376207,0.149458,0,0
157,100,1.27129,0.144002,64.0552,0.005046,0.079122,0.018001,0,0.001708,0.376543,0.146791,0,0
158,100,1.31171,0.147417,65.3995,0.005413,0.083874,0.018167,0,0.001673,0.386798,0.159041,0,0
159,100,1.29104,0.145416,67.1818,0.001253,0.057878,0.001,0,0.001581,0.381168,0.1605,0,0
