run_name,N,AR,seed_id,metric,rod,mu,num_samples,final_frame,final_time,final_displacement,final_path_length,final_orientation_change_deg,max_displacement,max_path_length,max_orientation_change_deg
20260403-112108_N1000_117_696_524_AR100_MinFTA_rod113,1000,100,117_696_524,MinFTA,113,1.0,300,299,0.299,0.00013272840539990563,0.00019155126722527545,0.03691785812910535,0.00013400639620928298,0.00019155126722527545,0.03735354726439401
20260403-112108_N1000_117_696_524_AR10_MaxFSA_rod93,1000,10,117_696_524,MaxFSA,93,0.0,300,299,0.299,0.04517054156195154,0.04517895381909491,8.534240200015201,0.04517054156195154,0.04517895381909491,8.534240200015201
20260403-112108_N1000_117_696_524_AR10_MaxFSA_rod93,1000,10,117_696_524,MaxFSA,93,0.1,300,299,0.299,0.04517054156195154,0.04517895381909491,8.534240200015201,0.04517054156195154,0.04517895381909491,8.534240200015201
20260403-112108_N1000_117_696_524_AR10_MaxFSA_rod93,1000,10,117_696_524,MaxFSA,93,0.2,300,299,0.299,0.04517054156195154,0.04517895381909491,8.534240200015201,0.04517054156195154,0.04517895381909491,8.534240200015201
20260403-112108_N1000_117_696_524_AR10_MaxFSA_rod93,1000,10,117_696_524,MaxFSA,93,0.4,300,299,0.299,0.04517054156195154,0.04517895381909491,8.534240200015201,0.04517054156195154,0.04517895381909491,8.534240200015201
20260403-112108_N1000_117_696_524_AR10_MaxFSA_rod93,1000,10,117_696_524,MaxFSA,93,1.0,300,299,0.299,0.04517054156195154,0.04517895381909491,8.534240200015201,0.04517054156195154,0.04517895381909491,8.534240200015201
20260403-112108_N1000_117_696_524_AR10_MaxFTA_rod514,1000,10,117_696_524,MaxFTA,514,0.0,300,299,0.299,0.045155217652559344,0.04517394339541907,7.084151865394718,0.045155217652559344,0.04517394339541907,7.084151865394718
20260403-112108_N1000_117_696_524_AR10_MaxFTA_rod514,1000,10,117_696_524,MaxFTA,514,0.1,300,299,0.299,0.045155217652559344,0.04517394339541907,7.084151865394718,0.045155217652559344,0.04517394339541907,7.084151865394718
20260403-112108_N1000_117_696_524_AR10_MaxFTA_rod514,1000,10,117_696_524,MaxFTA,514,0.2,300,299,0.299,0.045155217652559344,0.04517394339541907,7.084151865394718,0.045155217652559344,0.04517394339541907,7.084151865394718
20260403-112108_N1000_117_696_524_AR10_MaxFTA_rod514,1000,10,117_696_524,MaxFTA,514,0.4,300,299,0.299,0.045155217652559344,0.04517394339541907,7.084151865394718,0.045155217652559344,0.04517394339541907,7.084151865394718
20260403-112108_N1000_117_696_524_AR10_MaxFTA_rod514,1000,10,117_696_524,MaxFTA,514,1.0,300,299,0.299,0.045155217652559344,0.04517394339541907,7.084151865394718,0.045155217652559344,0.04517394339541907,7.084151865394718
20260403-112108_N1000_117_696_524_AR10_MinFSA_rod651,1000,10,117_696_524,MinFSA,651,0.0,300,299,0.299,0.04485363822757301,0.04486319355373461,7.928469744823075,0.04485363822757301,0.04486319355373461,7.928469744823075
20260403-112108_N1000_117_696_524_AR10_MinFSA_rod651,1000,10,117_696_524,MinFSA,651,0.1,300,299,0.299,0.04319143334331468,0.04319979375271562,7.885857162181939,0.04319143334331468,0.04319979375271562,7.885857162181939
20260403-112108_N1000_117_696_524_AR10_MinFSA_rod651,1000,10,117_696_524,MinFSA,651,0.2,300,299,0.299,0.04037172466281321,0.040380601339837494,7.6833151499986405,0.04037172466281321,0.040380601339837494,7.6833151499986405
20260403-112108_N1000_117_696_524_AR10_MinFSA_rod651,1000,10,117_696_524,MinFSA,651,0.4,300,299,0.299,0.011020090664327648,0.011128896426200846,1.859552878697302,0.011020090664327648,0.011128896426200846,1.859552878697302
